example,yor
yes,coreutils
unique,haskellPackages.unique-lang
titlecase,haskellPackages.titlecase
linktest,mesa-demos
tetris,haskellPackages.tetris
subtitles,haskellPackages.subtitles
readme,haskellPackages.stamina
csvclean,csvkit
stan,haskellPackages.stan
sleep,coreutils
tutorial,haskellPackages.smarties
test,coreutils
demo,fltk
scan,dep-scan
ssserver,shadowsocks-rust
sslocal,shadowsocks-rust
runghc,haskellPackages.runghc
server,gotify-server
json2json,python312Packages.remarshal
readme-example,haskellPackages.random-strings
migrate,go-migrate
pnbackup,pinboard-notes-backup
scatter,bashplotlib
pretty-derivation,nix-derivation
mastermind,haskellPackages.mastermind
generator,booster
ja,jacinda
inject,haskellPackages.inject
docgen,haskellPackages.implicit
hsc2hs,haskellPackages.hsc2hs
HsColour,hscolour
cpuid,msr-tools
hi,hinit
hgettext,haskellPackages.hgettext
hangman,bsdgames
benchmark,brlcad
haskell-language-server-wrapper,haskellPackages.haskell-language-server
haskell-language-server-9.6.5,haskell-language-server
simple,libftdi
basic,haskellPackages.haskakafka
gpio,haskellPackages.gpio
expireGititCache,haskellPackages.gitit
gearbox,haskellPackages.gearbox
examples,haskellPackages.free-vl
hercules-ci-nix-daemon,hercules-ci-nix-daemon
hercules-ci-agent-worker,hercules-ci-agent
factor,haskellPackages.factor
dotenv,mastodon
dhall-to-nixpkgs,dhall-nixpkgs
json-to-dhall,haskellPackages.dhall-json
dhall-to-yaml,haskellPackages.dhall-json
dhall-to-json,dhall-json
dhall-to-bash,dhall-bash
update,lacus
diagrams-builder-svg,diagrams-builder
diagrams-builder-ps,diagrams-builder
diagrams-builder-cairo,diagrams-builder
yaml-to-dhall,dhall-yaml
dhall-to-yaml-ng,dhall-yaml
dhall-to-nix,dhall-nix
main,pwntools
cgrep,haskellPackages.cgrep
hackage2nix,cabal2nix
cabal,cabal-install
arx,haskellPackages.arx
arithmetic,haskellPackages.arithmetic
avahi-browse,avahi
agda-mode,haskellPackages.Agda
zynaddsubfx-ext-gui,zynaddsubfx-fltk
unpack200,zulu11
serialver,zulu
rmiregistry,zulu
rmid,zulu11
rmic,zulu11
pack200,zulu11
keytool,zulu
jstatd,zulu
jstat,zulu
jstack,zulu
jshell,zulu
jrunscript,zulu
jps,zulu
jmod,zulu
jmap,zulu
jlink,zulu
jjs,zulu11
jinfo,zulu
jimage,zulu
jhsdb,zulu
jfr,zulu
jdeps,zulu
jdeprscan,zulu
jdb,zulu
jconsole,zulu17
jcmd,zulu
javap,zulu
javadoc,zulu
javac,zulu
java,zulu
jarsigner,zulu17
jar,zulu
jaotc,zulu11
xjc,zulu8
wsimport,zulu8
wsgen,zulu8
tnameserv,zulu8
servertool,zulu8
schemagen,zulu8
policytool,zulu8
orbd,zulu8
native2ascii,zulu8
jsadebugd,zulu8
jhat,zulu8
javah,zulu8
java-rmi.cgi,zulu8
idlj,zulu8
hsdb,zulu8
extcheck,zulu8
clhsdb,zulu8
appletviewer,zulu8
jpackage,zulu
jwebserver,zulu
history,zsh-history
minigzip,minizip-ng
zvol_wait,zfs
ztest,zfs
zstreamdump,zfs
zstream,zfs
zpool,zfs
zinject,zfs
zhack,zfs
zgenhostid,zfs
zfs_ids_to_path,zfs
zdb,zfs
raidz_test,zfs
mount.zfs,zfs
fsck.zfs,zfs
dbufstat,zfs
arcstat,zfs
arc_summary,zfs
zeitgeist-datahub,zeitgeist
zeitgeist-daemon,zeitgeist
slice2swift,zeroc-ice
slice2rb,zeroc-ice
slice2php,zeroc-ice
slice2objc,zeroc-ice
slice2matlab,zeroc-ice
